TRADE_CODE,SERIAL,TRADE,RPT_TAG,ARREAR_TRADE,VISIBLE_TAG,SUPERIOR_TRADE,DEGREE_TRADE,TRADE_LEVEL,SUPER0,SUPER1,SUPER2,SUPER3,SUPER4,SUPER5
"0100",11,"    1.农业","0","1","1","A000",,2,,"A000","0100",,,
"0200",12,"    2.林业","0","1","1","A000",,2,,"A000","0200",,,
"0300",13,"    3.畜牧业","0","1","1","A000",,2,,"A000","0300",,,
"0400",14,"    4.渔业","0","1","1","A000",,2,,"A000","0400",,,
"0500",15,"    5.农、林、牧、渔服务业","0","1","1","A000",,2,,"A000","0500",,,
"05A0",16,"  其中：排灌","0","1","1","A000",,2,,"A000","05A0",,,
"0600",21,"1.煤炭开采和洗选业","0","1","0","B000",,3,,"GG00","B000","0600",,
"0610",22,"  烟煤和无烟煤的开采洗选","0","1","1","0600",,4,,"GG00","B000","0600","0610",
"0620",23,"  褐煤的开采洗选","0","1","1","0600",,4,,"GG00","B000","0600","0620",
"0690",24,"  其他煤炭采选","0","1","1","0600",,4,,"GG00","B000","0600","0690",
"0700",25,"2.石油和天然气开采业","0","1","0","B000",,3,,"GG00","B000","0700",,
"0710",26,"  天然原油和天然气开采","0","1","1","0700",,4,,"GG00","B000","0700","0710",
"0790",27,"  与石油和天然气开采有关的服务活动","0","1","1","0700",,4,,"GG00","B000","0700","0790",
"0800",28,"3.黑色金属矿采选业","0","1","0","B000",,3,,"GG00","B000","0800",,
"0810",29,"  铁矿采选","0","1","1","0800",,4,,"GG00","B000","0800","0810",
"0890",30,"  其他黑色金属矿采选","0","1","1","0800",,4,,"GG00","B000","0800","0890",
"0900",31,"4.有色金属矿采选业","0","1","0","B000",,3,,"GG00","B000","0900",,
"0910",32,"  常用有色金属矿采选","0","1","1","0900",,4,,"GG00","B000","0900","0910",
"0920",33,"  贵金属矿采选","0","1","1","0900",,4,,"GG00","B000","0900","0920",
"0930",34,"  稀有稀土金属矿采选","0","1","1","0900",,4,,"GG00","B000","0900","0930",
"1000",35,"5.非金属矿采选业  ","0","1","0","B000",,3,,"GG00","B000","1000",,
"1010",36,"  土砂石开采","0","1","1","1000",,4,,"GG00","B000","1000","1010",
"1020",37,"  化学矿采选","0","1","1","1000",,4,,"GG00","B000","1000","1020",
"1030",38,"  采盐","0","1","1","1000",,4,,"GG00","B000","1000","1030",
"1090",39,"  石棉及其他非金属矿采选","0","1","1","1000",,4,,"GG00","B000","1000","1090",
"1100",40,"6.其他采矿业  ","0","1","1","B000",,3,,"GG00","B000","1100",,
"1300",44,"⑴农副食品加工业","0","1","0","13AA",,4,,"GG00","C000","13AA","1300",
"1310",45,"  谷物磨制","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1310"
"1320",46,"  饲料加工     ","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1320"
"1330",47,"  植物油加工","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1330"
"1340",48,"  制糖","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1340"
