合约,日期,结算价
ag1301,2013/1/4,5967
ag1301,2013/1/7,6139
ag1301,2013/1/8,6127
ag1301,2013/1/9,6169
ag1301,2013/1/10,6154
ag1301,2013/1/11,6244
ag1301,2013/1/14,6222
ag1301,2013/1/15,6293
ag1302,2013/1/4,6019
ag1302,2013/1/7,6193
ag1302,2013/1/8,6178
ag1302,2013/1/9,6213
ag1302,2013/1/10,6203
ag1302,2013/1/11,6287
ag1302,2013/1/14,6261
ag1302,2013/1/15,6342
ag1302,2013/1/16,6397
ag1302,2013/1/17,6379
ag1302,2013/1/18,6443
ag1302,2013/1/21,6481
ag1302,2013/1/22,6488
ag1302,2013/1/23,6496
ag1302,2013/1/24,6436
ag1302,2013/1/25,6375
ag1302,2013/1/28,6322
ag1302,2013/1/29,6307
ag1302,2013/1/30,6368
ag1302,2013/1/31,6470
ag1302,2013/2/1,6380
ag1302,2013/2/4,6415
ag1302,2013/2/5,6425
ag1302,2013/2/6,6417
ag1302,2013/2/7,6423
ag1302,2013/2/8,6358
ag1302,2013/2/18,6083
ag1303,2013/1/4,6081
ag1303,2013/1/7,6243
ag1303,2013/1/8,6232
ag1303,2013/1/9,6264
ag1303,2013/1/10,6254
ag1303,2013/1/11,6341
ag1303,2013/1/14,6313
ag1303,2013/1/15,6395
ag1303,2013/1/16,6452
ag1303,2013/1/17,6431
ag1303,2013/1/18,6491
ag1303,2013/1/21,6531
ag1303,2013/1/22,6534
ag1303,2013/1/23,6550
ag1303,2013/1/24,6487
ag1303,2013/1/25,6421
ag1303,2013/1/28,6367
ag1303,2013/1/29,6362
ag1303,2013/1/30,6413
ag1303,2013/1/31,6508
ag1303,2013/2/1,6407
ag1303,2013/2/4,6474
ag1303,2013/2/5,6472
ag1303,2013/2/6,6460
ag1303,2013/2/7,6478
ag1303,2013/2/8,6399
ag1303,2013/2/18,6136
ag1303,2013/2/19,6136
ag1303,2013/2/20,6080
ag1303,2013/2/21,5868
ag1303,2013/2/22,5918
ag1303,2013/2/25,5928
ag1303,2013/2/26,5955
ag1303,2013/2/27,5990
ag1303,2013/2/28,5964
ag1303,2013/3/1,5869
ag1303,2013/3/4,5909
ag1303,2013/3/5,5918
ag1303,2013/3/6,5943
ag1303,2013/3/7,5951
ag1303,2013/3/8,5922
ag1303,2013/3/11,5963
ag1303,2013/3/12,5950
ag1303,2013/3/13,5969
ag1303,2013/3/14,5872
ag1303,2013/3/15,5904
ag1304,2013/1/4,6153
ag1304,2013/1/7,6312
ag1304,2013/1/8,6285
ag1304,2013/1/9,6325
ag1304,2013/1/10,6325
