"","合同编号.电子商务.","行项目.电子商务.","供应商编码","供应商名称","质保期","项目编码","项目名称","付款方式","分标信息","分包信息","分标编号","分包编号","采购申请","项目","物料编码","物料描述","物料组","大类描述","中类描述","小类描述","数量","计量单位","单价.不含税.","含税单价","含税总价","分项净价.元.","交货日期","国内外采购标识","交货地点及交换方式","货币","招标计划编号","修改标识","日期","时间","cuprice","rbprice"
"30","CW10057","1","1000002595","大连信达变压器有限公司",36,"26180","瓦房店市祝华66千伏输变电改造工程","3:4:2.5:0.5","变压器","包127","0711-11OTL006-01","900000000000056000 ","1000030098","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1470100,1720017,1720017,1470100,"1203","1","施工现场地面交货","CNY","201109","",2011-11-10,"8:14:21",54920,4142
"31","CW10059","1","1000023636","沈阳福林特种变压器有限公司",12,"26111","庄河市南尖66千伏变电站改造工程","3:4:2.5:0.5","变压器","包134","0711-11OTL006-01","900000000000056000 ","1000030946","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1016239.31,1188999.99,2377999.99,2032478.62,"1205","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"16:34:22",58420,4158
"32","CW10061","1","1000023636","沈阳福林特种变压器有限公司",36,"26181","长海县房身35千伏输变电改造工程","3:4:2.5:0.5","变压器","包136","0711-11OTL006-01","900000000000056000 ","1000030157","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1058119.66,1238000,1238000,1058119.66,"1203","1","施工现场地面交货","CNY","201109","",2011-11-10,"9:14:22",54920,4142
"33","CW10063","1","1000001245","锦州变压器股份有限公司",36,"26153","瓦房店市柏屯66千伏输变电新建工程","3:4:2.5:0.5","变压器","包137","0711-11OTL006-01","900000000000056000 ","1000030944","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",908000,1062360,2124720,1816000,"1205","1","施工现场设备基础上交货","CNY","201109","",2011-11-10,"9:25:28",55110,4061
"34","CW10065","1","1000001245","锦州变压器股份有限公司",36,"26150","庄河市石山66千伏输变电新建工程","3:4:2.5:0.5","变压器","包137","0711-11OTL006-01","900000000000056000 ","1000030945","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",908000,1062360,2124720,1816000,"1205","1","施工现场设备基础上交货","CNY","201109","",2011-11-10,"9:14:22",55110,4061
"140","CW10423","1","1000000570","长春龙源电力设备有限公司",12,"26142","辽阳县双河66千伏输变电新建工程","1:4:4.5:0.5","变压器","包132","0711-11OTL006-01","900000000000056000 ","1000029438","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",906000,1060020,2120040,1812000,"1203","1","施工现场地面交货","CNY","201109","",2011-11-09,"15:34:26",58290,4217
"155","CW10481","1","1000002595","大连信达变压器有限公司",36,"26048","辽阳县向阳66千伏变电站改造工程","3:4:2.5:0.5","变压器","包125","0711-11OTL006-01","900000000000056000 ","1000028880","20","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1478600,1729962,3459924,2957200,"1207","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"15:34:26",58440,4167
"156","CW10483","1","1000000570","长春龙源电力设备有限公司",36,"26042","辽阳县小北河66千伏输变电改造工程","3:4:2.5:0.5","变压器","包126","0711-11OTL006-01","900000000000056000 ","1000028838","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1470000,1719900,1719900,1470000,"1207","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"15:34:26",58440,4167
"157","CW10485","1","1000002595","大连信达变压器有限公司",36,"26046","灯塔市邵二台66千伏变电站改造工程","3:4:2.5:0.5","变压器","包127","0711-11OTL006-01","900000000000056000 ","1000028781","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1478600,1729962,1729962,1478600,"1207","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"16:34:22",58440,4167
"158","CW10487","1","1000002595","大连信达变压器有限公司",12,"26045","灯塔市佟二堡66千伏变电站改造工程","1:4:4.5:0.5","变压器","包127","0711-11OTL006-01","900000000000056000 ","1000029434","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1478600,1729962,1729962,1478600,"1207","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"16:34:22",58440,4167
"200","CW10565","1","1000000136","中国能源建设集团葫芦岛电力设备厂",24,"26184","营口220千伏北海输变电工程","1:4:4.5:0.5","变压器","包34","0711-11OTL006-01","900000000000056000 ","1000029605","20","500031230","220kV三相油浸有载变压器,180MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",6370000,7452900,14905800,12740000,"1209","1","施工现场地面交货","CNY","201109","",2011-11-09,"16:04:43",58380,4202
"232","CW10621","1","1000014602","山东泰开变压器有限公司",36,"26183","营口66千伏北海输变电工程","3:4:2.5:0.5","变压器","包123","0711-11OTL006-01","900000000000056000 ","1000029589","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1606837.61,1880000,3760000.01,3213675.22,"1207","1","施工现场设备基础上交货","CNY","201109","",2011-11-10,"9:45:22",55220,4105
"233","CW10623","1","1000038571","哈尔滨变压器有限责任公司",36,"25067","营口66千伏白沙湾1#输变电工程","3:4:2.5:0.5","变压器","包128","0711-11OTL006-01","900000000000056000 ","1000029178","20","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1580000,1848600,3697200,3160000,"1202","1","施工现场设备基础上交货","CNY","201109","",2011-11-10,"9:45:22",54940,4184
"234","CW10625","1","1000001245","锦州变压器股份有限公司",36,"26144","老边区郑家66千伏输变电新建工程","3:4:2.5:0.5","变压器","包131","0711-11OTL006-01","900000000000056000 ","1000029585","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1013000,1185210,2370420,2026000,"1206","1","施工现场设备基础上交货","CNY","201109","",2011-11-09,"16:04:43",58470,4194
"235","CW10627","1","1000023636","沈阳福林特种变压器有限公司",36,"26029","盖州市双台66千伏输变电改造工程","3:4:2.5:0.5","变压器","包136","0711-11OTL006-01","900000000000056000 ","1000029121","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1058119.66,1238000,1238000,1058119.66,"1203","1","施工现场地面交货","CNY","201109","",2011-11-09,"16:14:21",58290,4217
"369","CW131269","1","1000023636","沈阳福林特种变压器有限公司",36,"1622PJ11101A0120000000","前进66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包87","0711-12OTL05301026","900000000000069000 ","1000040200","10","500031226","66kV油浸有载变压器,50MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1871794.87,2190000,4380000,3743589.74,"1212","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-03,"10:34:00",58370,4229
"429","CW131509","1","1000002595","大连信达变压器有限公司",36,"1622JZ1110140120000000","66kV山西街变电新建工程","3:4:2:1","110kV及以下变压器","包88","0711-12OTL05301026","900000000000069000 ","1000039655","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1769200,2069964,4139928,3538400,"1211","1","材料站现场地面交货","CNY","SG1203","",2012-05-03,"16:11:33",58300,4235
"460","CW131583","1","1000001243","丹东欣泰电气股份有限公司",36,"1622CY1110480120000000","前营子66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包90","0711-12OTL05301026","900000000000069000 ","1000039852","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1064100,1244997,2489994,2128200,"1210","1","材料站现场地面交货","CNY","SG1203","",2012-05-04,"10:51:29",58140,4248
"461","CW131585","1","1000001243","丹东欣泰电气股份有限公司",36,"1622CY10107C0120000000","翼达66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包90","0711-12OTL05301026","900000000000069000 ","1000040027","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1064100,1244997,2489994,2128200,"1210","1","材料站现场地面交货","CNY","SG1203","",2012-05-04,"10:51:29",58140,4248
"466","CW131595","1","1000023636","沈阳福林特种变压器有限公司",36,"1522DL1010110120000000","大连220千伏双西开关站扩建工程","0:9:0:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000040081","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",257300,301041,301041,257300,"1208","1","施工现场地面交货","CNY","SG1203","",2012-05-04,"12:31:15",58150,4278
"506","CW131661","1","1000000231","常州西电变压器有限责任公司",36,"1522LY11000K0120000000","辽阳220千伏穆家变电站扩建工程","3:4:2:1","220kV变压器","包2","0711-12OTL05301025","900000000000070000 ","1000039590","10","500031233","220kV三相油浸有载变压器,240MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","1","台",7094000,8299980,8299980,7094000,"1212","1","施工现场地面交货","CNY","SG1203","",2012-05-03,"17:11:43",58370,4229
"540","CW131736","1","1000023636","沈阳福林特种变压器有限公司",36,"1522DL1010A20120000000","范屯220kV开关站新建工程","0:9:0:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000032597","40","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",257300,301041,301041,257300,"1208","1","施工现场地面交货","CNY","SG1203","",2012-05-04,"10:31:53",58150,4278
"543","CW131745","1","1000023636","沈阳福林特种变压器有限公司",36,"1522DL1010A20620000000","双西220kV开关站新建工程","0:9:0:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000032599","40","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",257300,301041,301041,257300,"1208","1","施工现场地面交货","CNY","SG1203","",2012-05-04,"10:31:53",58150,4278
"596","CW131819","1","1000001245","锦州变压器股份有限公司",36,"1622YK10100Y0120000000","城东66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包89","0711-12OTL05301026","900000000000069000 ","1000039813","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1694000,1981980,3963960,3388000,"1212","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-03,"12:32:31",58370,4229
"600","CW131835","1","1000023636","沈阳福林特种变压器有限公司",12,"1522YK10000K0120000000","北海220千伏变电站新建工程","0:9:0:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000031681","30","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",257300,301041,301041,257300,"1208","1","施工现场地面交货","CNY","SG1203","",2012-05-03,"12:52:13",58300,4269
"622","CW131891","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522YK11000D0120000000","营口220千伏博洛铺变电站扩建工程","3:4:2:1","220kV变压器","包27","0711-12OTL05301025","900000000000070000 ","1000032943","10","500031230","220kV三相油浸有载变压器,180MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",5940000,6949800,13899600,11880000,"1212","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-03,"12:32:31",58370,4229
"655","CW132011","1","1000003096","南通晓星变压器有限公司",36,"1522SY10100U0120000000","瓷都220kV变电站新建工程","3:4:2:1","220kV变压器","包1","0711-12OTL05301025","900000000000068000 ","1000039684","10","500031233","220kV三相油浸有载变压器,240MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",6840000,8002800,16005600,13680000,"1212","1","施工现场地面交货","CNY","SG1203","",2012-05-03,"17:51:15",58370,4229
"669","CW132047","1","1000023636","沈阳福林特种变压器有限公司",36,"1622SY10102Z0120000000","文艺66kV变电站新建工程","3:4:2:1","110kV及以下变压器","包87","0711-12OTL05301026","900000000000069000 ","1000039868","10","500057245","66kV油浸有载变压器,63MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",2324800,2720016,5440032,4649600,"1212","1","材料站现场地面交货","CNY","SG1203","",2012-05-04,"14:31:16",58280,4237
"681","CW132103","1","1000023636","沈阳福林特种变压器有限公司",36,"1622SY1100040120000000","于山66kV变电站新建工程","3:4:2:1","110kV及以下变压器","包87","0711-12OTL05301026","900000000000069000 ","1000039967","10","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",2032500,2378025,4756050,4065000,"1212","1","材料站现场地面交货","CNY","SG1203","",2012-05-04,"14:31:16",58280,4237
"682","CW132105","1","1000001245","锦州变压器股份有限公司",36,"1622FS10100S0120000000","抚顺东洲66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包89","0711-12OTL05301026","900000000000069000 ","1000032811","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1704000,1993680,3987360,3408000,"1210","1","施工现场地面交货","CNY","SG1203","",2012-05-03,"13:52:18",58290,4241
"683","CW132107","1","1000001245","锦州变压器股份有限公司",36,"1622FS10100W0120000000","抚顺砂石66千伏变电站新建工程","3:4:2:1","110kV及以下变压器","包89","0711-12OTL05301026","900000000000069000 ","1000040198","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1704000,1993680,3987360,3408000,"1210","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-03,"13:52:18",58290,4241
"684","CW132109","1","1000023636","沈阳福林特种变压器有限公司",NA,"2122SY120008","沈阳66千伏望花变电站增容改造工程","3:4:2:1","110kV及以下变压器","包87","0711-12OTL05301026","900000000000069000 ","1000040399","10","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1871794.87,2190000,2190000,1871794.87,"1209","1","材料站现场地面交货","CNY","SG1203","",2012-05-04,"14:31:16",58140,4264
