合约,日期,结算价
al1101,2011/1/4,16515
al1101,2011/1/5,16505
al1101,2011/1/6,16635
al1101,2011/1/7,16690
al1101,2011/1/10,16615
al1101,2011/1/11,16585
al1101,2011/1/12,16620
al1101,2011/1/13,16635
al1101,2011/1/14,16555
al1101,2011/1/17,16555
al1102,2011/1/4,16680
al1102,2011/1/5,16645
al1102,2011/1/6,16780
al1102,2011/1/7,16795
al1102,2011/1/10,16740
al1102,2011/1/11,16685
al1102,2011/1/12,16735
al1102,2011/1/13,16735
al1102,2011/1/14,16660
al1102,2011/1/17,16645
al1102,2011/1/18,16545
al1102,2011/1/19,16610
al1102,2011/1/20,16630
al1102,2011/1/21,16615
al1102,2011/1/24,16655
al1102,2011/1/25,16620
al1102,2011/1/26,16570
al1102,2011/1/27,16550
al1102,2011/1/28,16585
al1102,2011/1/31,16625
al1102,2011/2/1,16755
al1102,2011/2/9,16725
al1102,2011/2/10,16750
al1102,2011/2/11,16800
al1102,2011/2/14,16805
al1102,2011/2/15,16795
al1103,2011/1/4,16890
al1103,2011/1/5,16830
al1103,2011/1/6,16945
al1103,2011/1/7,16980
al1103,2011/1/10,16905
al1103,2011/1/11,16840
al1103,2011/1/12,16885
al1103,2011/1/13,16890
al1103,2011/1/14,16800
al1103,2011/1/17,16785
al1103,2011/1/18,16665
al1103,2011/1/19,16750
al1103,2011/1/20,16740
al1103,2011/1/21,16725
al1103,2011/1/24,16770
al1103,2011/1/25,16725
al1103,2011/1/26,16650
al1103,2011/1/27,16640
al1103,2011/1/28,16675
al1103,2011/1/31,16760
al1103,2011/2/1,16910
al1103,2011/2/9,16880
al1103,2011/2/10,16900
al1103,2011/2/11,16950
al1103,2011/2/14,16960
al1103,2011/2/15,16945
al1103,2011/2/16,16880
al1103,2011/2/17,16890
al1103,2011/2/18,16870
al1103,2011/2/21,16985
al1103,2011/2/22,16955
al1103,2011/2/23,16795
al1103,2011/2/24,16765
al1103,2011/2/25,16800
al1103,2011/2/28,16815
al1103,2011/3/1,16775
al1103,2011/3/2,16700
al1103,2011/3/3,16700
al1103,2011/3/4,16720
al1103,2011/3/7,16645
al1103,2011/3/8,16480
al1103,2011/3/9,16525
al1103,2011/3/10,16465
al1103,2011/3/11,16530
al1103,2011/3/14,16435
al1103,2011/3/15,16425
al1104,2011/1/4,17090
al1104,2011/1/5,17010
al1104,2011/1/6,17125
al1104,2011/1/7,17165
al1104,2011/1/10,17080
al1104,2011/1/11,17005
al1104,2011/1/12,17050
al1104,2011/1/13,17040
al1104,2011/1/14,16940
al1104,2011/1/17,16925
