索引,起始值(含),终止值(不含),计数
0,0,100,3398
1,100,200,1080
2,200,300,1499
3,300,400,1760
4,400,500,1664
5,500,600,1428
6,600,700,1159
7,700,800,1062
8,800,900,831
9,900,1000,669
10,1000,1100,2699
11,1100,1200,0
12,1200,1300,0
13,1300,1400,0
14,1400,1500,0
15,1500,1600,0
16,1600,1700,0
17,1700,1800,0
18,1800,1900,0
19,1900,2000,0
20,2000,2100,0
21,2100,2200,0
22,2200,2300,0
23,2300,2400,0
24,2400,2500,0
25,2500,2600,0
26,2600,2700,0
27,2700,2800,0
28,2800,2900,0
29,2900,3000,0
30,3000,3100,0
31,3100,3200,0
32,3200,3300,0
33,3300,3400,0
34,3400,3500,0
35,3500,2147483647,0
