索引,起始值(含),终止值(不含),计数
0,0,200,16847
1,200,400,81
2,400,600,71
3,600,800,49
4,800,1000,32
5,1000,1200,30
6,1200,1400,25
7,1400,1600,14
8,1600,1800,9
9,1800,2000,10
10,2000,2200,10
11,2200,2400,9
12,2400,2600,6
13,2600,2800,6
14,2800,3000,7
15,3000,3200,2
16,3200,3400,4
17,3400,3600,4
18,3600,3800,3
19,3800,4000,3
20,4000,4200,2
21,4200,4400,1
22,4400,4600,2
23,4600,4800,3
24,4800,5000,1
25,5000,5200,2
26,5200,5400,1
27,5400,5600,2
28,5600,5800,1
29,5800,6000,2
30,6000,6200,2
31,6200,6400,1
32,6400,6600,0
33,6600,6800,1
34,6800,7000,0
35,7000,7200,1
36,7200,7400,1
37,7400,7600,0
38,7600,7800,0
39,7800,8000,0
40,8000,8200,0
41,8200,8400,1
42,8400,8600,0
43,8600,8800,0
44,8800,9000,0
45,9000,9200,0
46,9200,9400,0
47,9400,9600,1
48,9600,9800,0
49,9800,10000,0
50,10000,10200,0
51,10200,10400,0
52,10400,10600,0
53,10600,10800,0
54,10800,11000,0
55,11000,11200,0
56,11200,11400,0
57,11400,11600,0
58,11600,11800,0
59,11800,12000,0
60,12000,12200,1
61,12200,12400,0
62,12400,12600,0
63,12600,12800,0
64,12800,13000,0
65,13000,13200,0
66,13200,13400,0
67,13400,13600,0
68,13600,13800,0
69,13800,14000,0
70,14000,14200,0
71,14200,14400,0
72,14400,14600,0
73,14600,14800,0
74,14800,15000,0
75,15000,15200,0
76,15200,15400,0
77,15400,15600,0
78,15600,15800,1
79,15800,2147483647,0
