
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 20
--------------------------------------
	簇ID:	 计数

	0:	 2
	1:	 1161
	2:	 39
	3:	 18030
	4:	 59846
	5:	 135599
	6:	 5929
	7:	 1839
	8:	 236154
	9:	 362314
	10:	 4754
	11:	 83464
	12:	 5467
	13:	 2150
	14:	 42110
	15:	 33746
	16:	 18577
	17:	 290
	18:	 8617
	19:	 1
--------------------------------------
	 簇中心 

0,2,||,2.3772962E7,2.40143205E7,2.128397E7,1.8094551E7,2.5875042E7,2.5908521E7,1.93844325E7,2.42103055E7,1.3179488E7,1.0169305E7,1.84243915E7,2.5374358E7
1,1161,||,63697.1234439834,53282.98625518672,49640.92453319502,48470.44346473029,39519.37966804979,38859.492997925314,39197.42557053942,40860.339730290456,42309.25285269709,36558.25803941909,43953.154045643154,50636.89263485477
2,39,||,613172.5714285715,443263.35714285716,438030.64285714284,575227.8571428572,446723.85714285716,423082.85714285716,434870.35714285716,414108.5714285714,362610.35714285716,393839.21428571426,799212.1428571428,518271.5
3,18030,||,7815.800886746988,6535.995951807229,6729.657561445783,6720.804125301205,5973.161175903614,5714.215113253012,5907.2509879518075,6495.1442120481925,6726.3730891566265,5740.222303614458,5997.599518072289,6567.487826506024
4,59846,||,1609.414693924391,1283.258533066658,1388.9623758156006,1373.9109642939113,1342.5729614085708,1285.8250270500673,1322.81030525591,1447.2474507360896,1496.613675858225,1240.9363913570937,1306.4625971343323,1350.0651250860683
5,135599,||,448.8563434776278,330.7511648950554,383.790459301479,356.48641129116135,370.87556944646684,332.89814968901464,354.862594387702,364.91845734611945,395.02830590976225,318.7854616936742,359.869178124935,353.3585068541593
6,5929,||,10726.286507936507,8425.81626984127,8741.926587301587,6208.629761904762,3173.2996031746034,1930.8694444444445,1628.4400793650793,1582.7972222222222,1475.0666666666666,1453.8261904761905,2742.394047619048,5352.806746031746
7,1839,||,41020.93203883495,34890.34757281553,36615.9359223301,24047.452427184468,7548.126213592233,4848.601941747573,4119.984466019418,4445.244660194175,4377.73786407767,4291.704854368932,11439.05631067961,27006.39223300971
8,236154,||,194.61798254477776,136.42759184670987,160.3058517763062,143.688480211305,151.6221184078807,133.31465928477766,138.6927335705188,138.13071207343037,152.67988419583313,128.11816348878853,147.54917682224718,142.2790156645815
9,362314,||,49.0686163970639,33.098359948457166,38.5568754458225,34.5720564209945,36.10265710209623,33.404821210796385,31.442681607952323,29.93677086449297,32.87553498699924,29.418820037276515,33.32895085022665,32.30264444648979
10,4754,||,14025.717568569311,12199.492957746479,12500.093402520386,14805.992587101557,15186.350630096367,17727.694588584138,20832.98295033358,23402.871015567085,25056.272053372868,20279.01556708673,16830.71756856931,14651.859154929578
11,83464,||,581.0958667109068,464.5310233682514,516.8375598426317,554.1818742001233,608.9990993980186,638.1063421339527,696.5557188225814,773.695691330521,820.5029625065175,642.4958287908233,665.6926103237427,629.6075508366118
12,5467,||,2203.830933333333,1922.9749333333334,2098.5248,2802.5642666666668,4246.202133333333,6691.034133333334,8917.5792,10967.998933333334,12384.938133333333,9540.734933333333,5813.743466666667,3791.1642666666667
13,2150,||,17867.0,12921.0,19182.0,8300.0,3394.0,0.0,2629.0,1278.0,1319.0,1379.0,1687.0,10035.0
14,42110,||,2763.787884886295,2323.5079492855707,2450.658952170121,2675.698933386999,2782.4493191118268,2816.315355202254,2882.8769034681695,3173.202455222379,3227.009659891326,2759.693231367814,2787.018648956866,2762.5788555712084
15,33746,||,1458.1177255400255,955.898792884371,1110.6977128335452,789.2391994917408,641.7191232528589,394.7228716645489,385.48856416772554,339.32318932655653,375.56677255400257,297.94218551461245,416.0143583227446,523.3854510800509
16,18577,||,3599.3066739456804,2765.805513852873,2911.547154360584,2450.32141394841,1783.027978708885,1208.8813975706291,1088.2271052272417,1070.656749010509,1070.7098403166372,938.3476183977072,1251.7627951412583,1749.1965333697285
17,290,||,151663.0752688172,120379.04301075269,123546.37634408602,118872.78494623656,88970.75268817204,85301.91397849462,84449.25806451614,89810.12903225806,93114.72043010753,77566.80645161291,103631.08602150538,119863.93548387097
18,8617,||,14982.442824748947,12612.20570132815,12898.180434078393,12939.319727891156,10841.541950113378,9233.055069646907,8516.458049886622,9087.78166504697,9277.940071266601,8286.195335276969,10131.432458697765,11876.119209588598
19,1,||,3440.0,4200.0,4840.0,4800.0,4000.0,3560.0,3640.0,3720.0,3600.0,3800.0,0.0,-2118738.0
----------------------------------------------------------------------------
	 打印每个簇及其样本信息 

----------------------------------------------------------------------------
	 簇及其样本 

--------------------------------------
	簇ID:	 计数
	0:	 2

	样本数据

811508729, 8112436827, ||, 1.07865E7, 1.177694E7, 1.256172E7, 1.205564E7, 1.392484E7, 1.21888E7, 9363340.0, 1.342158E7, 1.008276E7, 1.148242E7, 1.050116E7, 1.43083E7, ||,  0
811710721, 8114273381, ||, 3.6759424E7, 3.6251701E7, 3.000622E7, 2.4133462E7, 3.7825244E7, 3.9628242E7, 2.9405525E7, 3.4999031E7, 1.6276216E7, 8856190.0, 2.6347623E7, 3.6440416E7, ||,  0
--------------------------------------
	簇ID:	 计数
	1:	 1161

	样本数据

730000454, 0730000454, ||, 44923.0, 51646.0, 27503.0, 41257.0, 39791.0, 63497.0, 65805.0, 84178.0, 57626.0, 48071.0, 38682.0, 44715.0, ||,  1
27144259, 0271442598, ||, 52020.0, 45900.0, 34950.0, 0.0, 107408.0, 41198.0, 41722.0, 52585.0, 52518.0, 52685.0, 61832.0, 68268.0, ||,  1
812903994, 8125755629, ||, 67634.0, 123119.0, 50514.0, 112917.0, 21222.0, 15758.0, 97416.0, 13270.0, 18650.0, 11264.0, 13671.0, 63734.0, ||,  1
785004721, 7850047214, ||, 44400.0, 45600.0, 30000.0, 24360.0, 26760.0, 53160.0, 46440.0, 58320.0, 54000.0, 46200.0, 35280.0, 43920.0, ||,  1
9293842, 0092938423, ||, 40619.0, 36846.0, 41616.0, 40891.0, 25389.0, 23672.0, 24817.0, 32804.0, 28975.0, 21173.0, 30361.0, 44365.0, ||,  1
758000048, 0758000048, ||, 44199.0, 38238.0, 33520.0, 42107.0, 36571.0, 38828.0, 38541.0, 42820.0, 45937.0, 43996.0, 49698.0, 49123.0, ||,  1
27269505, 0272695052, ||, 61122.0, 28798.0, 45971.0, 61445.0, 44147.0, 36782.0, 29448.0, 18471.0, 25773.0, 34334.0, 58353.0, 59602.0, ||,  1
801855197, 8018387511, ||, 76500.0, 48000.0, 66000.0, 78000.0, 66000.0, 51000.0, 64500.0, 0.0, 142500.0, 42000.0, 76500.0, 54000.0, ||,  1
31263560, 0312635600, ||, 48506.0, 31351.0, 34999.0, 32074.0, 27461.0, 28482.0, 26057.0, 26811.0, 28817.0, 25628.0, 31949.0, 36112.0, ||,  1
288716, 0002887164, ||, 102000.0, 51200.0, 64800.0, 51200.0, 33200.0, 38000.0, 35600.0, 40800.0, 29200.0, 38800.0, 60400.0, 60400.0, ||,  1
758000071, 0758000071, ||, 44877.0, 45007.0, 42314.0, 46799.0, 45593.0, 48661.0, 48301.0, 49643.0, 48988.0, 44033.0, 48301.0, 46766.0, ||,  1
773002072, 0773002072, ||, 38180.0, 40047.0, 34610.0, 38056.0, 41574.0, 44541.0, 38087.0, 37652.0, 41762.0, 46513.0, 46200.0, 44917.0, ||,  1
30582652, 0305826523, ||, 52516.0, 65181.0, 84698.0, 78214.0, 77494.0, 84400.0, 100616.0, 92629.0, 98034.0, 68186.0, 87163.0, 58640.0, ||,  1
801399912, 8013862501, ||, 58200.0, 51600.0, 43200.0, 43200.0, 40800.0, 31200.0, 46200.0, 57000.0, 42000.0, 25200.0, 46800.0, 39600.0, ||,  1
5110729, 0051107299, ||, 44720.0, 26300.0, 53600.0, 37580.0, 35420.0, 32960.0, 28240.0, 29640.0, 25640.0, 22400.0, 19680.0, 24340.0, ||,  1
9293714, 0092937143, ||, 24749.0, 51765.0, 68053.0, 78213.0, 73363.0, 72190.0, 79391.0, 88095.0, 138322.0, 33102.0, 88668.0, 75799.0, ||,  1
26802380, 0268023807, ||, 59005.0, 57858.0, 39425.0, 46185.0, 38580.0, 33108.0, 32942.0, 36863.0, 38896.0, 33701.0, 47714.0, 50339.0, ||,  1
801454971, 8014401400, ||, 84200.0, 77460.0, 66660.0, 66220.0, 41680.0, 42040.0, 62760.0, 71100.0, 45640.0, 42480.0, 64760.0, 77300.0, ||,  1
808290179, 8080939946, ||, 51365.0, 33013.0, 52747.0, 48512.0, 41584.0, 40324.0, 42361.0, 48807.0, 40292.0, 48839.0, 44989.0, 45771.0, ||,  1
640001533, 6400015330, ||, 52218.0, 49370.0, 26769.0, 61403.0, 62075.0, 57794.0, 49546.0, 37857.0, 34985.0, 43841.0, 54778.0, 61603.0, ||,  1
30146744, 0301467449, ||, 35239.0, 28765.0, 51839.0, 41125.0, 34083.0, 41036.0, 36490.0, 35183.0, 32841.0, 32155.0, 31629.0, 50426.0, ||,  1
756002045, 7560020455, ||, 47719.0, 47329.0, 42018.0, 43009.0, 41656.0, 44178.0, 0.0, 8208.0, 16746.0, 21139.0, 38944.0, 38343.0, ||,  1
773001918, 0773001918, ||, 34635.0, 36089.0, 33029.0, 33293.0, 36944.0, 29548.0, 28063.0, 29107.0, 35791.0, 36564.0, 42452.0, 44417.0, ||,  1
812949988, 8126209185, ||, 64962.0, 74442.0, 44730.0, 18486.0, 24312.0, 15492.0, 37566.0, 47472.0, 24162.0, 25074.0, 28020.0, 19530.0, ||,  1
19082620, 0190826204, ||, 80400.0, 64800.0, 82200.0, 28800.0, 7800.0, 9600.0, 12000.0, 15600.0, 10800.0, 12000.0, 75000.0, 87600.0, ||,  1
773001900, 0773001900, ||, 50540.0, 54260.0, 47106.0, 55222.0, 52430.0, 53205.0, 51345.0, 49889.0, 45623.0, 45469.0, 48342.0, 44543.0, ||,  1
29000094, 0290000940, ||, 85536.0, 82368.0, 40128.0, 41184.0, 25344.0, 26400.0, 38016.0, 48576.0, 69696.0, 42240.0, 49632.0, 47520.0, ||,  1
30155877, 0301558776, ||, 36816.0, 23652.0, 38988.0, 47178.0, 33042.0, 34794.0, 30408.0, 31356.0, 35154.0, 33630.0, 35736.0, 43848.0, ||,  1
744068942, 0744068942, ||, 77520.0, 97040.0, 70080.0, 80000.0, 56320.0, 25120.0, 26880.0, 32480.0, 32320.0, 24800.0, 77280.0, 92640.0, ||,  1
810477435, 8102508022, ||, 41012.0, 39216.0, 40332.0, 42968.0, 40480.0, 37668.0, 31788.0, 29600.0, 31460.0, 29332.0, 14520.0, 18472.0, ||,  1
698190150, 6981901507, ||, 39776.0, 43202.0, 34431.0, 34789.0, 25104.0, 28832.0, 23900.0, 34073.0, 28781.0, 21189.0, 31972.0, 31934.0, ||,  1
15189942, 0151899427, ||, 85392.0, 79910.0, 65364.0, 82406.0, 64246.0, 57298.0, 57388.0, 74394.0, 61974.0, 53596.0, 71566.0, 65584.0, ||,  1
756003638, 7560036382, ||, 94400.0, 56800.0, 68800.0, 80000.0, 76000.0, 68160.0, 68800.0, 68800.0, 60800.0, 60800.0, 77600.0, 74400.0, ||,  1
30158490, 0301584908, ||, 65085.0, 50423.0, 60884.0, 40722.0, 27707.0, 26968.0, 24011.0, 28579.0, 30151.0, 26508.0, 32679.0, 44894.0, ||,  1
31266831, 0312668312, ||, 47032.0, 41736.0, 41064.0, 47944.0, 33576.0, 33984.0, 48944.0, 62464.0, 42464.0, 30744.0, 45216.0, 55416.0, ||,  1
23260951, 0232609516, ||, 41640.0, 30480.0, 47040.0, 39180.0, 36420.0, 30060.0, 30060.0, 30780.0, 33300.0, 30300.0, 38640.0, 33180.0, ||,  1
715002328, 7150023284, ||, 61555.0, 66271.0, 63143.0, 115042.0, 81027.0, 27884.0, 17843.0, 14803.0, 18334.0, 15739.0, 15221.0, 16146.0, ||,  1
773000365, 0773000365, ||, 65306.0, 61721.0, 61855.0, 41182.0, 35586.0, 46668.0, 48007.0, 48464.0, 52534.0, 53522.0, 60053.0, 59353.0, ||,  1
696029876, 6960298769, ||, 35009.0, 28014.0, 22672.0, 37511.0, 38134.0, 40949.0, 41626.0, 41069.0, 33406.0, 29867.0, 31300.0, 27372.0, ||,  1
731007381, 7310073814, ||, 58269.0, 46934.0, 30826.0, 47372.0, 81793.0, 18003.0, 28052.0, 27929.0, 20995.0, 25224.0, 33979.0, 48752.0, ||,  1
2645280, 0026452803, ||, 61650.0, 51990.0, 50355.0, 65220.0, 46605.0, 44115.0, 50775.0, 56055.0, 41475.0, 47835.0, 56685.0, 57795.0, ||,  1
2794583, 0027945836, ||, 96696.0, 84381.0, 86844.0, 70206.0, 38310.0, 20784.0, 41919.0, 10782.0, 31287.0, 43788.0, 72102.0, 0.0, ||,  1
805337034, 8052331934, ||, 131000.0, 100000.0, 0.0, 67000.0, 0.0, 30000.0, 10000.0, 0.0, 0.0, 0.0, 36000.0, 68000.0, ||,  1
740002579, 0740002579, ||, 686.0, 211.0, 106.0, 5702.0, 82157.0, 115157.0, 171917.0, 139022.0, 85483.0, 16843.0, 23813.0, 4224.0, ||,  1
731008778, 7310087787, ||, 104195.0, 87781.0, 76810.0, 35957.0, 49852.0, 42373.0, 49118.0, 65268.0, 54399.0, 68612.0, 88672.0, 85664.0, ||,  1
25650670, 0256506703, ||, 38220.0, 31650.0, 35310.0, 37470.0, 35940.0, 35940.0, 34050.0, 36210.0, 34590.0, 33690.0, 37560.0, 36300.0, ||,  1
740002264, 0740002264, ||, 42461.0, 36483.0, 41976.0, 42892.0, 36167.0, 43467.0, 34317.0, 69729.0, 61822.0, 39917.0, 33150.0, 39167.0, ||,  1
17244253, 0172442530, ||, 37782.0, 40282.0, 30322.0, 31181.0, 30376.0, 35706.0, 36446.0, 50184.0, 43815.0, 27470.0, 0.0, 51125.0, ||,  1
731037298, 7310372982, ||, 57503.0, 78889.0, 71113.0, 69694.0, 50592.0, 71436.0, 75705.0, 67486.0, 75246.0, 52131.0, 55640.0, 52979.0, ||,  1
773003093, 0773003093, ||, 64691.0, 64056.0, 63886.0, 70288.0, 61754.0, 53832.0, 38365.0, 46268.0, 41331.0, 36679.0, 51810.0, 44105.0, ||,  1
11043481, 0110434812, ||, 81145.0, 32974.0, 90216.0, 66259.0, 58284.0, 46973.0, 48296.0, 52281.0, 49074.0, 41311.0, 50514.0, 52739.0, ||,  1
25708609, 0257086097, ||, 47130.0, 43383.0, 40575.0, 47610.0, 36430.0, 35853.0, 36059.0, 33245.0, 28185.0, 23901.0, 34249.0, 0.0, ||,  1
30158382, 0301583820, ||, 78963.0, 66671.0, 55130.0, 56933.0, 52761.0, 36608.0, 36676.0, 38820.0, 46156.0, 42669.0, 19086.0, 40302.0, ||,  1
698191695, 6981916952, ||, 42983.0, 62507.0, 56312.0, 63846.0, 37080.0, 49782.0, 58039.0, 72778.0, 70897.0, 55784.0, 56549.0, 65355.0, ||,  1
711000573, 0711000573, ||, 47126.0, 46825.0, 41877.0, 40309.0, 41941.0, 41305.0, 36149.0, 29359.0, 28974.0, 25520.0, 29312.0, 35050.0, ||,  1
15021550, 0150215503, ||, 78240.0, 78240.0, 79140.0, 79140.0, 48960.0, 27720.0, 24240.0, 19440.0, 21000.0, 24360.0, 59845.0, 78600.0, ||,  1
731000326, 7310003266, ||, 30895.0, 1277.0, 118828.0, 44330.0, 96520.0, 82864.0, 80849.0, 92969.0, 102199.0, 60336.0, 103303.0, 105938.0, ||,  1
785005964, 7850059644, ||, 82800.0, 41400.0, 28500.0, 18690.0, 39900.0, 25200.0, 39000.0, 42300.0, 36000.0, 33000.0, 16500.0, 31500.0, ||,  1
804505575, 8044195704, ||, 124320.0, 106152.0, 73408.0, 52912.0, 28536.0, 27144.0, 29672.0, 39504.0, 32040.0, 30872.0, 70912.0, 104416.0, ||,  1
801336171, 8013229890, ||, 42200.0, 37920.0, 30750.0, 35530.0, 26250.0, 24520.0, 26570.0, 29820.0, 27180.0, 24940.0, 33010.0, 37910.0, ||,  1
805622072, 8055087221, ||, 46451.0, 50990.0, 65306.0, 67810.0, 58759.0, 62246.0, 54136.0, 50763.0, 44888.0, 18172.0, 15168.0, 23107.0, ||,  1
690005878, 6900058787, ||, 32400.0, 26000.0, 33200.0, 28000.0, 14800.0, 19600.0, 35600.0, 70000.0, 60000.0, 21600.0, 42000.0, 30800.0, ||,  1
773002763, 0773002763, ||, 41145.0, 173.0, 79996.0, 52764.0, 51803.0, 61656.0, 61158.0, 56303.0, 61251.0, 56831.0, 55060.0, 58791.0, ||,  1
760003324, 0760003324, ||, 49813.0, 17445.0, 24889.0, 41915.0, 36975.0, 34315.0, 25983.0, 9475.0, 19157.0, 27529.0, 36994.0, 37165.0, ||,  1
