用户ID,年份,缴费方式变更次数
27131661,"2010",1
27142655,"2013",1
748005409,"2013",1
748004147,"2013",1
785001055,"2013",1
701001777,"2013",1
815991678,"2014",1
600028317,"2014",1
801884569,"2012",1
747012110,"2012",1
15177614,"2013",1
730053746,"2013",1
15336269,"2013",2
15258212,"2013",2
730020406,"2014",2
702166086,"2014",1
563849,"2011",1
17138538,"2010",1
680001837,"2013",1
7260230,"2010",1
7449021,"2011",2
801488021,"2014",1
30340358,"2009",1
716111990,"2012",1
30456869,"2009",2
717184773,"2012",1
809502838,"2013",1
760023095,"2014",1
9229156,"2011",1
9237915,"2012",2
774060111,"2012",1
23056243,"2013",1
805584254,"2012",1
26994106,"2012",1
801559692,"2013",1
805664294,"2013",3
804605777,"2014",1
2763926,"2012",1
809397567,"2014",1
600129632,"2014",1
815961256,"2014",1
747019127,"2012",2
15343386,"2013",1
15188066,"2013",1
702086650,"2014",1
816830836,"2014",1
15184799,"2014",2
819498525,"2014",1
680035515,"2012",1
680041413,"2013",1
7032878,"2012",1
30155900,"2011",2
716124158,"2012",1
717214718,"2012",1
622046560,"2012",1
760031954,"2012",1
811291079,"2012",1
761087478,"2014",1
5121864,"2009",1
755143170,"2012",1
9120257,"2013",1
804632577,"2011",1
23020141,"2013",1
804632577,"2012",1
741090892,"2013",1
748000536,"2013",1
785700109,"2013",1
26987796,"2013",2
803386211,"2014",1
2723651,"2013",1
801884569,"2011",1
15226481,"2012",1
15181299,"2012",1
805851988,"2012",1
747114005,"2013",1
15342395,"2013",1
15000058,"2014",1
747043505,"2014",1
563718,"2011",1
682514356,"2012",1
805328418,"2012",1
692007714,"2013",1
30738067,"2013",1
30145879,"2012",1
670167707,"2010",1
670225276,"2013",1
717084680,"2012",1
30582610,"2009",1
810619171,"2012",1
753015372,"2012",1
761005764,"2013",2
760004019,"2013",1
784002041,"2013",2
512011549,"2010",1
27144514,"2010",2
27144279,"2012",1
27117261,"2013",1
741058200,"2014",1
785002265,"2013",1
600015990,"2014",1
600033155,"2014",2
600124419,"2014",1
15190196,"2009",1
17103590,"2012",1
734129092,"2012",1
7454195,"2012",2
700071457,"2012",1
781121303,"2012",1
30202558,"2009",1
807873297,"2011",2
716111689,"2013",1
716180940,"2014",1
804239396,"2013",1
717241284,"2013",2
760020504,"2012",1
760016353,"2013",2
760005658,"2013",1
21022069,"2014",1
760024339,"2014",1
5122210,"2009",1
744000728,"2013",1
774060065,"2012",1
27144041,"2012",1
27131412,"2013",1
785004365,"2013",1
741005968,"2014",1
605340813,"2014",1
15136338,"2012",1
730098586,"2013",1
747096601,"2013",1
816556845,"2013",2
702095377,"2013",1
702020624,"2014",1
702020824,"2014",1
747046424,"2014",1
732500719,"2014",1
733097631,"2013",1
30150398,"2012",1
670211242,"2012",1
717207320,"2013",1
21114873,"2010",1
760023589,"2012",1
760021876,"2012",1
753044507,"2012",1
760020875,"2012",1
760021202,"2012",1
760030170,"2012",1
809504032,"2013",1
21218008,"2014",1
5135146,"2014",1
784046146,"2012",1
800008100,"2009",1
26987911,"2012",2
701407739,"2013",1
748003496,"2013",1
756001764,"2013",1
600108625,"2014",2
600086243,"2014",1
600028935,"2014",1
15185428,"2014",1
734158529,"2012",1
7062199,"2012",2
7141764,"2013",2
30244196,"2012",1
807873297,"2012",1
670122095,"2012",1
717221881,"2012",1
717029634,"2012",1
810619194,"2012",1
753045624,"2012",1
753028173,"2013",1
760012446,"2013",1
9014873,"2011",1
748003085,"2013",1
26987911,"2013",4
785111362,"2013",1
600082888,"2013",1
600021116,"2014",1
15344001,"2013",2
747147184,"2013",1
15163100,"2013",1
807345877,"2013",1
7191780,"2013",1
716111990,"2013",1
670239433,"2013",1
622008794,"2012",2
21105320,"2011",1
21232608,"2014",1
802165409,"2010",1
751000061,"2013",4
804605777,"2012",1
741002838,"2013",1
748006617,"2013",2
27005818,"2013",1
748000304,"2013",1
809834132,"2013",1
747003140,"2012",2
15163213,"2012",1
747051094,"2013",1
15337671,"2013",1
747036609,"2013",2
747011836,"2013",1
702018952,"2014",1
747082871,"2014",1
680001837,"2010",1
7019038,"2012",2
810760514,"2012",1
30737977,"2012",1
670225276,"2014",1
717009244,"2012",1
622080730,"2010",1
753059706,"2012",1
753028235,"2013",1
753060663,"2013",1
5545180,"2010",2
751065646,"2013",1
23021145,"2013",1
