用户ID,年份,违约用电次数
17002597,,1
17058550,,1
26876274,"2011",1
17142823,,2
17137003,,1
806849234,"2011",1
600054437,"2011",2
31494194,"2011",1
808068538,"2011",2
17150332,,1
17151810,,1
17129945,,1
17172150,,1
698203459,"2013",1
31653643,"2013",1
698188161,"2013",1
819202264,,1
7449021,"2009",2
23131158,"2010",2
802448125,"2010",1
5060830,"2011",1
17163273,,1
17195665,,1
17282592,,1
15021193,"2013",1
734040030,,1
25617673,"2009",1
17000499,,1
17138635,,1
30765315,"2011",1
805491971,"2011",1
804274259,"2010",1
17196225,,1
807444732,"2011",1
17287362,,1
734013668,,1
17290061,,2
19080361,"2009",1
7268466,"2010",1
17231205,,1
17125863,,1
17154937,,1
17125200,,1
808068538,"2012",8
17276277,,1
30769935,"2009",1
803113825,"2010",1
17000908,,1
803116047,"2010",1
17175173,,1
17018354,,1
782157805,,2
807288413,"2014",1
17264896,,1
19014247,"2009",2
17000326,,1
803488804,"2010",1
17205152,,1
17175746,,1
25110536,"2010",1
31510483,"2011",1
17166708,,1
782157805,"2013",2
17138573,,1
17177751,,1
17003380,,2
17137939,,1
17160515,,1
31526356,"2011",1
17169459,,2
732500654,"2013",1
820453447,"2014",1
31215645,"2009",1
25704568,"2009",1
30820557,"2010",2
19080361,"2010",1
17178043,,2
23001223,"2011",2
17157594,,1
600124419,"2011",2
17135761,,1
698188161,"2012",1
17268556,,1
814457070,"2012",1
808016469,"2013",1
