用户号,年月,实收,应收,欠费
"0253788074","201206",0,0,0
"0171975031","201405",10.2,13,2.8
"0310974073","201405",0,73.5,73.5
"8023716234","201405",0,190,190
"0253901909","201206",0,0,0
"0267381919","201405",0.87,122.5,121.63
"8003443770","201405",104.36,224,119.64
"0003976799","201405",30.7,63.5,32.8
"0307302874","201405",0,32.5,32.5
"0256873726","201405",0.46,94,94.54
"0269768879","201405",2.04,4.5,2.46
"8155642377","201405",0.32,1.5,1.18
"0314146425","201405",0,97.5,97.5
"0316415967","201405",0,108,108
"0131467303","201405",0,33.5,33.5
"0711037921","201405",20.78,44,23.43
"8078311514","201405",0,206.5,206.5
"8046772572","201405",0,5,5
"0306807802","201405",0,318.5,318.5
"0050065484","201405",0,45,45
"0254528187","201405",0.18,11.5,11.32
"0256426845","201405",17.9,25,7.1
"0261473461","201405",76.02,136.5,60.48
"7855165771","201405",200,265,65
"8161177773","201405",40.15,122,81.85
"0111165070","201405",2.98,55.5,52.52
"7560598480","201405",0.7,50,49.3
"0020414564","201405",22.02,54,31.98
"8030576931","201405",59.5,143,83.5
"0232174018","201405",3.34,46,42.83
"0262379193","201405",0.19,139,138.81
"0020676911","201405",0.84,33.5,32.66
"8004839783","201405",0.76,38,37.24
"8019599342","201405",0.45,27,26.55
"0000447948","201405",22.92,51,28.08
"8034203507","201405",0,18,19
"0255064521","201206",0,0,0
"0258758164","201405",0.64,200.5,199.86
"0022139939","201405",2.23,74.5,72.27
"0310832751","201405",0,242.5,242.5
"0052137394","201405",0,258,258
"0110592583","201405",94.79,103,8.21
