用户号,电价名称,是否分时,是否阶梯
"0251756624","城镇居民生活(1kV以下,征收附加)","否","是 "
"8076352434","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250747074","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253614320","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253587990","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251559353","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251587448","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251513393","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250141401","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252653968","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250170010","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252503960","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252449927","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250136577","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250157400","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252628999","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250082261","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250349919","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250099582","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251749547","城镇居民生活(1kV以下,居民电采暖12-04)","是","是 "
"0250110968","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250346893","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252556645","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250949379","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251534457","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255814100","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251609898","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252099379","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252099496","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255894296","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252042979","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252067989","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253475785","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253502144","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253061487","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252063424","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252092381","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252041628","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253649777","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253646518","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253701626","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251415774","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253648022","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253648413","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251467368","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253688042","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253740887","一般工商业(1kV以下,商业)","否","否 "
"0253690052","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250824308","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252583867","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252877405","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252877740","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255849443","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253952864","城镇福利机构(1-10kV,征收附加)","否","否 "
"0250988442","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253934868","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251243515","城镇居民生活(1kV以下,征收附加)","否","是 "
"8106586565","一般工商业(1kV以下,非居民照明)","否","否 "
"0250667028","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250814743","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252842582","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252921434","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250693638","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250367494","一般工商业(1kV以下,商业)","否","否 "
"0250342455","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250320125","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252594236","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252284308","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250296390","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250363942","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250298370","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250762677","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251642338","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253331920","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253524719","城镇居民生活(1kV以下,征收附加)","否","是 "
"8074515938","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250494824","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250470484","城镇居民生活(1kV以下,居民电采暖12-04)","是","是 "
"0251698012","居民生活1KV以下","否","否 "
"0253258382","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253283739","城镇居民生活(1kV以下,征收附加)","否","是 "
"8108317091","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253489007","一般工商业(1kV以下,商业)","否","否 "
"0253496230","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253126742","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253464462","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253644453","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252428818","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252431456","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251429445","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252631872","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251430696","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251485146","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250596445","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252711251","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252684951","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253532525","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252405918","一般工商业(1kV以下,商业)","否","否 "
"0250624676","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251944913","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251987714","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250028494","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250029514","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250062878","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250741920","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250045266","居民生活1KV以下","否","否 "
"0251917889","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250059403","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251966780","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251591021","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252664829","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255805939","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251567299","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251568511","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251593388","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251520324","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251545318","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251929437","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251931027","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251083861","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252420986","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252421077","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251927369","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252001969","城镇居民生活(1kV以下,征收附加)","否","是 "
"8108302910","一般工商业(1kV以下,商业)","否","否 "
"0252373411","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252326848","居民生活1KV以下","否","否 "
"0255799298","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252934883","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251717984","城镇居民生活(1kV以下,征收附加)","否","是 "
