CONS_NO,YM,尖峰电量,尖峰电价,峰电量,峰电价,平电量,平电价,谷电量,谷电价,脊骨电量,脊骨电价
"0003742437","201301",0,,0,,1321,0.52,749,0.3004,0,
"0003742437","201302",0,,0,,850,0.52,653,0.3004,0,
"0003742437","201303",0,,0,,752,0.52,452,0.3004,0,
"0003742437","201304",0,,0,,633,0.52,194,0.3004,0,
"0003742437","201305",0,,0,,427,0.5,0,,0,
"0003742437","201306",0,,0,,394,0.5,0,,0,
"0003742437","201307",0,,0,,266,0.5,0,,0,
"0003742437","201308",0,,0,,330,0.5,0,,0,
"0003742437","201309",0,,0,,252,0.5,0,,0,
"0003742437","201310",0,,0,,193,0.5,0,,0,
"0003742437","201311",0,,0,,261,0.5,0,,0,
"0003742437","201312",0,,0,,420,0.52,84,0.3004,0,
"0020329961","201301",0,,67200,1.29,72920,0.8796,27660,0.4692,0,
"0020329961","201302",0,,51380,1.29,55880,0.8796,22020,0.4692,0,
"0020329961","201303",0,,49940,1.29,55120,0.8796,21800,0.4692,0,
"0020329961","201304",0,,47420,1.29,50960,0.8796,19500,0.4692,0,
"0020329961","201305",0,,36700,1.29,40060,0.8796,14120,0.4692,0,
"0020329961","201306",0,,32940,1.29,38460,0.8796,11040,0.4692,0,
"0020329961","201307",0,,62820,1.29,73300,0.8796,15600,0.4692,0,
"0020329961","201308",0,,87040,1.29,96960,0.8796,21020,0.4692,0,
"0020329961","201309",0,,50560,1.29,55160,0.8796,15500,0.4692,0,
"0020329961","201310",0,,44480,1.2865,50240,0.8796,14020,0.4727,0,
"0020329961","201311",0,,55720,1.2865,60180,0.8796,21640,0.4727,0,
"0020329961","201312",0,,61160,1.2865,67320,0.8796,22720,0.4727,0,
"0020614036","201301",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201302",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201303",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201304",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201305",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201306",0,,0,1.29,0,0.8796,0,0.4692,0,
"0020614036","201307",0,,0,1.29,0,0.8796,0,0.4692,0,
